rank,prev_rank,name,league,off,def,spi
117,106,Galatasaray,Turkish Turkcell Super Lig,1.66,1.11,58.41
118,127,Shanghai SIPG,Chinese Super League,1.69,1.13,58.37
119,128,Beijing Guoan,Chinese Super League,1.76,1.21,58.34
120,126,West Bromwich Albion,Barclays Premier League,1.61,1.07,58.34
121,137,Nice,French Ligue 1,1.57,1.04,58.12
122,118,Angers,French Ligue 1,1.48,0.97,57.87
123,131,Strasbourg,French Ligue 1,1.53,1.02,57.67
124,120,Nantes,French Ligue 1,1.49,0.99,57.67
125,139,Tigres UANL,Mexican Primera Division Torneo Apertura,1.54,1.03,57.63
126,133,Torino,Italy Serie A,1.64,1.13,57.44
127,152,Rapid Vienna,Austrian T-Mobile Bundesliga,1.78,1.27,57.37
128,132,Bodo/Glimt,Norwegian Tippeligaen,2.16,1.63,57.09
129,130,FC Midtjylland,Danish SAS-Ligaen,1.64,1.16,56.91
130,147,Metz,French Ligue 1,1.43,0.96,56.9
131,125,Schalke 04,German Bundesliga,1.64,1.16,56.75
132,143,Brest,French Ligue 1,1.62,1.15,56.66
133,138,LASK Linz,Austrian T-Mobile Bundesliga,1.65,1.2,55.91
134,146,Cruz Azul,Mexican Primera Division Torneo Apertura,1.61,1.17,55.88
135,177,Malmo FF,Swedish Allsvenskan,1.63,1.19,55.76
136,134,Sporting de Charleroi,Belgian Jupiler League,1.53,1.1,55.64
137,148,Nimes,French Ligue 1,1.51,1.08,55.62
138,145,Santos,Brasileiro Série A,1.4,0.98,55.61
139,142,Parma,Italy Serie A,1.62,1.19,55.51
140,150,Cagliari,Italy Serie A,1.57,1.15,55.47
141,141,St Etienne,French Ligue 1,1.43,1.02,55.34
142,164,KAA Gent,Belgian Jupiler League,1.68,1.28,54.91
143,135,Genoa,Italy Serie A,1.63,1.23,54.87
144,176,Alanyaspor,Turkish Turkcell Super Lig,1.58,1.19,54.73
145,154,León,Mexican Primera Division Torneo Apertura,1.52,1.14,54.72
146,151,Benevento,Italy Serie A,1.54,1.16,54.58
147,149,Reims,French Ligue 1,1.37,1.0,54.42
148,156,Guimaraes,Portuguese Liga,1.37,1.0,54.36
149,153,FC Copenhagen,Danish SAS-Ligaen,1.67,1.29,54.34
150,136,Anderlecht,Belgian Jupiler League,1.59,1.22,54.2
151,121,Besiktas,Turkish Turkcell Super Lig,1.68,1.32,53.91
152,158,Fenerbahce,Turkish Turkcell Super Lig,1.55,1.21,53.59
153,159,Monterrey,Mexican Primera Division Torneo Apertura,1.58,1.24,53.57
154,161,Stoke City,English League Championship,1.42,1.08,53.49
155,162,Velez Sarsfield,Argentina Primera Division,1.22,0.9,53.34
156,168,Swansea City,English League Championship,1.44,1.11,53.33
157,178,Vitesse,Dutch Eredivisie,1.66,1.34,53.1
158,157,Rio Ave,Portuguese Liga,1.37,1.06,52.95
159,172,Standard Liege,Belgian Jupiler League,1.47,1.17,52.6
160,181,Sochi,Russian Premier Liga,1.45,1.15,52.53
161,166,Atlético Paranaense,Brasileiro Série A,1.22,0.93,52.51
162,173,Blackburn,English League Championship,1.48,1.2,52.33
163,165,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.46,1.18,52.07
164,174,Crotone,Italy Serie A,1.46,1.19,51.99
165,160,Los Angeles FC,Major League Soccer,1.81,1.53,51.99
166,182,Dinamo Moscow,Russian Premier Liga,1.13,0.87,51.91
167,175,Defensa y Justicia,Argentina Primera Division,1.28,1.02,51.81
168,189,FC Utrecht,Dutch Eredivisie,1.69,1.43,51.77
169,179,Molde,Norwegian Tippeligaen,1.84,1.59,51.35
170,180,Jiangsu Suning FC,Chinese Super League,1.5,1.26,51.28
171,163,Spezia,Italy Serie A,1.43,1.2,51.06
172,185,Santos Laguna,Mexican Primera Division Torneo Apertura,1.45,1.22,50.97
173,171,Lorient,French Ligue 1,1.46,1.24,50.69
174,209,Preston North End,English League Championship,1.36,1.15,50.69
175,186,Pachuca,Mexican Primera Division Torneo Apertura,1.3,1.09,50.68
176,188,Fluminense,Brasileiro Série A,1.27,1.06,50.63
177,190,Brondby,Danish SAS-Ligaen,1.51,1.3,50.45
178,195,Bristol City,English League Championship,1.42,1.22,50.27
179,203,Antwerp,Belgian Jupiler League,1.5,1.31,50.16
180,193,Club América,Mexican Primera Division Torneo Apertura,1.48,1.3,49.86
181,194,Shandong Luneng,Chinese Super League,1.6,1.43,49.81
182,200,Rubin Kazan,Russian Premier Liga,1.2,1.02,49.77
183,191,Rostov,Russian Premier Liga,1.35,1.19,49.6
184,192,Cardiff City,English League Championship,1.35,1.19,49.58
185,197,CA Independiente,Argentina Primera Division,1.2,1.04,49.46
186,196,Corinthians,Brasileiro Série A,1.26,1.1,49.41
187,204,St Gallen,Swiss Raiffeisen Super League,1.61,1.46,49.36
188,184,Genk,Belgian Jupiler League,1.62,1.47,49.24
189,208,Hamburg SV,German 2. Bundesliga,1.58,1.44,49.06
190,210,Seattle Sounders FC,Major League Soccer,1.53,1.4,48.94
191,206,Toronto FC,Major League Soccer,1.55,1.42,48.88
192,169,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.57,1.44,48.83
193,214,AGF Aarhus,Danish SAS-Ligaen,1.55,1.43,48.66
194,201,Newell's Old Boys,Argentina Primera Division,1.24,1.11,48.58
195,198,Fortuna Düsseldorf,German 2. Bundesliga,1.5,1.39,48.51
196,205,Racing Club,Argentina Primera Division,1.18,1.06,48.4
197,220,Rosenborg,Norwegian Tippeligaen,1.62,1.51,48.39
198,199,Vasco da Gama,Brasileiro Série A,1.26,1.15,48.06
199,212,Fortaleza,Brasileiro Série A,1.15,1.04,48.05
200,211,Bahía,Brasileiro Série A,1.31,1.21,47.94
201,221,Bragantino,Brasileiro Série A,1.31,1.23,47.6
202,213,Guadalajara,Mexican Primera Division Torneo Apertura,1.28,1.2,47.6
203,215,Panathinaikos,Greek Super League,1.08,0.98,47.54
204,202,Dijon FCO,French Ligue 1,1.32,1.25,47.42
205,207,FC Arsenal Tula,Russian Premier Liga,1.38,1.31,47.36
206,218,Middlesbrough,English League Championship,1.32,1.25,47.34
207,228,Huddersfield Town,English League Championship,1.26,1.19,47.18
208,219,Santa Clara,Portuguese Liga,1.26,1.19,47.13
209,222,New York City FC,Major League Soccer,1.4,1.34,47.09
210,226,Reading,English League Championship,1.26,1.2,46.93
